"filename", "language", "Markdown", "JavaScript", "Batch", "HTML", "JSON", "CSS", "comment", "blank", "total"
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\services\link-checker-service.js", "JavaScript", 0, 250, 0, 0, 0, 0, 67, 43, 360
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\services\messaging-service.js", "JavaScript", 0, 94, 0, 0, 0, 0, 48, 17, 159
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\services\server-info-service.js", "JavaScript", 0, 69, 0, 0, 0, 0, 19, 14, 102
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\services\storage-service.js", "JavaScript", 0, 107, 0, 0, 0, 0, 76, 26, 209
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\services\vercel-link-service.js", "JavaScript", 0, 126, 0, 0, 0, 0, 43, 31, 200
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\services\web-vitals-service.js", "JavaScript", 0, 144, 0, 0, 0, 0, 61, 37, 242
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\content\analyzers\web-vitals-analyzer.js", "JavaScript", 0, 212, 0, 0, 0, 0, 53, 30, 295
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\content\content-controller.js", "JavaScript", 0, 158, 0, 0, 0, 0, 61, 48, 267
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\content\content.js", "JavaScript", 0, 18, 0, 0, 0, 0, 7, 7, 32
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\content\detectors\spa-detector.js", "JavaScript", 0, 269, 0, 0, 0, 0, 104, 65, 438
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\content\extractors\seo-extractor.js", "JavaScript", 0, 302, 0, 0, 0, 0, 63, 38, 403
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\content\utils\dom-utils.js", "JavaScript", 0, 422, 0, 0, 0, 0, 102, 77, 601
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\content\utils\link-checker.js", "JavaScript", 0, 138, 0, 0, 0, 0, 21, 22, 181
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\shared\constants.js", "JavaScript", 0, 70, 0, 0, 0, 0, 1, 10, 81
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\shared\constants\dom-constants.js", "JavaScript", 0, 6, 0, 0, 0, 0, 7, 6, 19
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\shared\utils\logger.js", "JavaScript", 0, 37, 0, 0, 0, 0, 29, 5, 71
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\shared\utils\messaging.js", "JavaScript", 0, 235, 0, 0, 0, 0, 64, 29, 328
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\shared\utils\storage-utils.js", "JavaScript", 0, 64, 0, 0, 0, 0, 23, 6, 93
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\shared\utils\string-utils.js", "JavaScript", 0, 28, 0, 0, 0, 0, 17, 10, 55
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\update-content.md", "Markdown", 196, 0, 0, 0, 0, 0, 0, 37, 233
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\webpack.config.cjs", "JavaScript", 0, 61, 0, 0, 0, 0, 4, 2, 67
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\webpack.config.js", "JavaScript", 0, 57, 0, 0, 0, 0, 4, 2, 63
"Total", "-", 2460, 12075, 23, 15, 4788, 51, 3044, 2521, 24977
